"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2010,2,61,1,0,6,1,25000,58400
2010,1,64,1,0,11,3,33400,58400
2010,1,32,1,0,6,1,28000,63000
2010,2,30,1,0,6,1,35000,63000
2010,2,1,1,0,0,0,NA,63000
2010,1,50,2,0,5,3,10580,10580
2010,1,80,1,0,7,3,45600,52200
2010,2,79,1,0,10,3,6600,52200
2010,1,37,2,0,7,1,87000,88400
2010,2,18,2,0,6,1,1400,88400
2010,1,10,2,0,1,0,NA,88400
2010,2,1,2,0,0,0,NA,88400
2010,1,23,1,0,10,1,33000,33000
2010,1,18,1,0,7,1,13800,NA
2010,1,38,1,0,7,1,45000,45000
2010,2,47,2,0,10,1,85000,85000
2010,2,87,1,0,6,3,14100,14100
2010,2,53,1,0,10,1,86000,86000
2010,1,52,1,0,8,1,1e+05,86000
2010,2,29,1,0,8,1,37000,37000
2010,1,33,1,0,8,1,22000,22000
2010,2,30,1,0,6,1,34000,34000
2010,2,23,1,0,6,1,27000,27000
2010,2,32,1,1,10,1,14800,34000
2010,1,28,3,0,8,1,20000,20000
2010,1,42,1,1,3,2,35000,35380
2010,2,41,1,1,0,3,0,35380
2010,1,19,1,1,6,1,380,35380
2010,2,17,1,1,5,3,0,35380
2010,2,73,1,0,7,3,48300,48300
2010,1,36,1,0,11,1,69000,69000
2010,1,53,1,0,10,1,120000,69000
2010,1,51,3,0,6,3,7200,NA
2010,1,56,2,0,7,1,3010,NA
2010,2,53,1,0,10,1,59000,110450
2010,1,56,1,0,7,1,45400,110450
2010,1,24,1,0,8,1,6050,110450
2010,1,32,1,0,11,1,68000,68000
2010,2,52,1,0,7,1,40000,51400
2010,2,24,1,0,6,1,11400,51400
2010,1,26,1,0,8,1,30000,30000
2010,2,23,1,0,10,1,37400,30000
2010,2,39,1,0,10,1,73000,73000
2010,1,5,1,0,1,0,NA,73000
2010,2,23,1,0,10,3,51000,51000
2010,1,43,2,0,10,1,82000,82000
2010,2,43,1,0,11,1,12000,12000
2010,2,28,1,0,10,1,790,12000
2010,1,51,1,0,10,3,162000,257000
2010,2,49,1,0,11,1,95000,257000
2010,1,15,1,0,3,0,0,257000
2010,2,17,1,0,5,3,0,0
2010,1,34,1,0,7,1,17700,17700
2010,2,52,1,0,6,2,2700,2700
2010,1,68,1,0,7,3,37500,37500
2010,2,39,1,0,10,1,30000,30000
2010,1,1,3,0,0,0,NA,30000
2010,1,46,2,0,7,2,0,30000
2010,2,38,1,0,10,1,4600,4600
2010,2,29,1,0,8,1,19100,19100
2010,2,29,1,0,7,1,22000,22000
2010,1,56,1,0,11,1,162000,312000
2010,2,52,1,0,11,1,150000,312000
2010,2,47,3,0,6,3,9070,9070
2010,1,55,1,0,11,1,75000,124000
2010,2,53,1,0,10,1,39000,124000
2010,2,20,1,0,7,1,10000,124000
2010,2,17,1,0,5,3,0,124000
2010,1,47,1,0,10,1,36010,36010
2010,1,30,1,0,10,1,33000,65000
2010,2,26,1,0,10,1,32000,65000
2010,1,0,1,0,0,0,NA,65000
2010,1,20,1,0,6,1,2000,NA
2010,1,32,1,0,6,1,362000,362000
2010,2,71,2,0,6,1,14800,14800
2010,2,45,2,0,6,2,11300,11300
2010,1,20,2,0,7,3,0,11300
2010,1,16,2,0,4,3,0,11300
2010,2,34,1,0,7,1,55000,119000
2010,1,38,2,0,6,1,64000,119000
2010,2,7,3,0,1,0,NA,119000
2010,2,2,3,0,0,0,NA,119000
2010,2,39,1,0,10,1,103000,103000
2010,1,77,1,0,7,3,29200,NA
2010,2,78,1,0,10,3,41400,41400
2010,2,56,1,0,6,1,14000,NA
2010,2,63,1,0,6,3,12600,28100
2010,1,62,3,0,7,3,15500,28100
2010,2,57,1,0,10,1,49100,49100
2010,2,85,1,0,6,3,119800,119800
2010,1,52,3,0,6,3,9000,9000
2010,2,31,1,0,10,1,95000,95000
2010,2,63,1,0,8,3,10070,10070
2010,1,30,1,0,6,3,12300,NA
2010,2,49,1,0,11,1,17900,96900
2010,1,53,1,4,11,1,79000,96900
2010,2,40,2,0,10,1,54000,54000
2010,1,54,1,0,10,2,550,NA
2010,2,45,1,0,10,1,25200,100200
2010,1,54,2,0,11,1,75000,100200
2010,1,17,3,0,5,2,0,100200
2010,1,15,3,0,3,0,0,100200
2010,1,11,3,0,2,0,NA,100200
2010,2,60,2,0,0,3,8180,8180
2010,1,23,1,0,10,1,55000,55000
2010,1,23,1,0,10,1,62000,62000
2010,1,31,1,0,10,1,85000,115000
2010,2,33,1,0,11,1,30000,115000
2010,1,0,1,0,0,0,NA,115000
2010,1,52,1,0,7,1,53000,53000
2010,2,52,1,0,7,2,0,53000
2010,1,53,1,0,8,2,13000,13000
2010,1,60,2,0,2,2,0,0
2010,1,38,3,0,4,3,8100,8100
2010,1,5,3,0,1,0,NA,8100
2010,2,4,3,0,0,0,NA,8100
2010,2,35,3,0,5,3,5400,8100
2010,2,15,3,0,2,0,0,8100
2010,1,30,1,0,6,1,42000,53000
2010,2,28,1,0,8,1,11000,53000
2010,2,0,1,0,0,0,NA,53000
2010,2,48,1,0,6,1,30000,80000
2010,1,48,1,0,7,1,50000,80000
2010,1,13,1,0,2,0,NA,80000
2010,2,9,1,0,1,0,NA,80000
2010,1,18,1,0,5,3,0,80000
2010,2,50,2,0,11,1,40500,137500
2010,1,54,2,0,10,1,97000,137500
2010,2,57,2,0,6,3,8800,17070
2010,2,33,2,0,6,3,8100,17070
2010,2,58,2,0,6,3,170,17070
2010,2,9,2,0,1,0,NA,17070
2010,1,9,2,0,1,0,NA,17070
2010,1,33,1,0,7,1,25000,35000
2010,2,30,1,0,10,1,10000,35000
2010,1,5,1,0,0,0,NA,35000
2010,1,0,1,0,0,0,NA,35000
2010,1,57,1,0,10,1,49000,102000
2010,2,55,1,0,8,1,38000,102000
2010,1,20,1,0,6,1,15000,102000
2010,1,26,1,0,10,3,30,22460
2010,2,27,1,0,11,1,22430,22460
2010,2,45,1,0,11,1,48500,104500
2010,1,47,1,0,10,1,56000,104500
2010,1,27,1,0,10,1,50000,50000
2010,1,28,1,0,6,1,15000,15000
