"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,1,15,1,0,2,0,0,43400
2019,1,50,1,0,10,1,90000,221900
2019,2,45,1,0,10,1,130200,221900
2019,2,16,1,0,4,1,1700,221900
2019,1,7,1,0,1,0,NA,221900
2019,2,57,1,0,10,1,82000,82000
2019,1,25,1,0,10,1,98000,98000
2019,2,24,1,0,10,1,46000,98000
2019,2,75,1,0,8,3,34800,34800
2019,2,38,1,0,11,1,24600,24600
2019,2,28,1,0,8,3,0,0
2019,2,65,1,0,11,3,7600,94600
2019,1,63,1,0,11,1,87000,94600
2019,1,58,1,0,8,1,22000,22000
2019,1,38,1,0,6,1,15000,15000
2019,2,64,2,0,6,1,83700,83700
2019,1,66,2,0,6,3,8000,83700
2019,1,70,1,0,10,3,22500,22500
2019,2,59,1,0,11,1,68040,117860
2019,1,62,1,0,7,1,49820,117860
2019,1,53,1,0,6,1,18900,18900
2019,2,56,1,0,8,1,67700,67700
2019,1,33,1,0,10,1,67000,221000
2019,2,31,3,0,11,1,154000,221000
2019,2,0,3,0,0,0,NA,221000
2019,1,54,1,0,11,1,2e+05,376500
2019,2,52,1,0,11,1,165000,376500
2019,2,20,1,0,7,1,11500,376500
2019,2,25,1,0,8,3,11700,11700
2019,2,75,1,0,11,3,126400,348280
2019,1,74,1,0,11,3,221880,348280
2019,1,70,2,0,3,3,9760,9760
2019,2,71,1,0,10,3,80900,92400
2019,1,90,1,1,10,3,11500,92400
2019,1,48,1,1,10,3,0,92400
2019,2,46,1,1,6,3,0,92400
2019,2,95,1,0,6,3,29000,29000
2019,2,42,3,0,0,1,25000,33800
2019,1,44,3,0,6,3,0,33800
2019,2,21,3,0,7,1,4400,33800
2019,1,20,3,0,6,1,4400,33800
2019,2,16,3,0,5,3,0,33800
2019,1,15,3,0,3,0,0,33800
2019,2,14,3,0,2,0,NA,33800
2019,1,12,3,0,2,0,NA,33800
2019,2,6,3,0,1,0,NA,33800
2019,1,3,3,0,0,0,NA,33800
2019,2,31,1,0,11,1,30000,210000
2019,1,31,1,0,11,1,180000,210000
2019,1,0,1,0,0,0,NA,210000
2019,2,28,1,0,7,1,10000,10000
2019,2,67,1,0,11,1,126020,126020
2019,1,69,1,0,6,3,27040,126020
2019,1,31,1,0,11,1,64500,64500
2019,2,24,1,0,6,2,6900,6900
2019,1,24,2,0,11,1,1200,6900
2019,1,5,3,0,1,0,NA,6900
2019,2,4,3,0,0,0,NA,6900
2019,2,53,2,0,8,1,16800,16800
2019,1,39,2,0,8,1,7000,11000
2019,2,31,2,0,0,1,4000,11000
2019,2,18,2,0,7,3,0,11000
2019,1,12,2,0,2,0,NA,11000
2019,2,9,2,0,1,0,NA,11000
2019,2,8,2,0,1,0,NA,11000
2019,2,4,2,0,1,0,NA,11000
2019,2,2,2,0,0,0,NA,11000
2019,1,71,1,0,6,1,68200,76600
2019,2,69,1,0,6,3,8400,76600
2019,2,21,3,0,7,1,32000,32000
2019,1,20,1,0,6,1,20000,20000
2019,2,54,1,0,6,1,40400,80400
2019,1,57,1,0,6,1,40000,80400
2019,1,60,1,0,10,3,16000,19500
2019,1,21,1,0,6,1,3500,19500
2019,1,20,3,0,8,3,1000,1000
2019,1,47,1,0,10,1,72000,72000
2019,2,50,1,0,6,1,50000,50000
2019,2,73,3,0,6,3,20500,81500
2019,1,37,3,0,10,1,61000,81500
2019,2,39,1,0,11,1,171000,396000
2019,1,43,1,0,10,1,225000,396000
2019,1,8,1,0,1,0,NA,396000
2019,1,5,1,0,0,0,NA,396000
2019,2,2,1,0,0,0,NA,396000
2019,1,35,1,0,10,1,90000,182000
2019,2,33,1,0,10,1,92000,182000
2019,1,0,1,0,0,0,NA,182000
2019,2,23,1,0,10,1,43000,43000
2019,2,23,1,0,10,1,24000,24000
2019,2,23,1,0,10,1,57000,57000
2019,1,22,1,0,10,1,31500,31500
2019,1,54,1,0,7,1,67400,67400
2019,1,43,1,0,10,1,46000,67400
2019,1,42,1,0,8,1,19600,19600
2019,2,40,1,0,10,1,39000,39000
2019,1,80,1,0,11,3,11800,11800
2019,2,22,3,0,10,1,35000,35000
2019,1,23,1,1,10,1,82000,35000
2019,2,40,1,0,11,1,65000,120000
2019,1,35,1,0,10,1,55000,120000
2019,2,3,1,0,0,0,NA,120000
2019,1,1,1,0,0,0,NA,120000
2019,2,42,2,0,1,1,22500,41000
2019,2,19,2,0,7,1,6700,41000
2019,2,17,2,0,5,1,10000,41000
2019,2,15,2,0,2,0,1800,41000
2019,1,13,2,0,2,0,NA,41000
2019,2,69,1,0,7,3,20800,20800
2019,2,34,2,0,8,1,23000,23000
2019,1,5,2,0,1,0,NA,23000
2019,2,3,2,0,1,0,NA,23000
2019,1,53,1,0,10,1,95000,95000
2019,1,76,1,0,11,3,50000,62000
2019,2,75,1,0,11,3,12000,62000
2019,2,39,1,0,10,1,62700,129700
2019,2,40,1,0,10,1,67000,129700
2019,2,30,3,0,11,1,28100,28100
2019,1,64,2,0,6,3,13700,14800
2019,2,58,3,0,1,3,1100,14800
2019,2,60,1,0,8,3,0,9400
2019,2,26,1,0,7,3,9400,9400
2019,2,56,1,0,10,1,108000,108000
2019,1,27,1,0,10,1,50000,81500
2019,2,26,1,0,10,1,31500,81500
2019,2,35,1,0,11,1,60500,196000
2019,1,36,3,0,10,1,135500,196000
2019,2,5,3,0,1,0,NA,196000
2019,2,2,3,0,0,0,NA,196000
2019,2,81,1,0,11,3,24500,24500
2019,1,31,1,0,11,1,27000,27000
2019,2,25,1,0,10,1,52000,27000
2019,1,23,3,0,10,1,30000,68400
2019,1,21,3,0,6,3,1000,68400
2019,2,7,3,0,1,0,NA,68400
2019,1,50,3,0,6,1,29000,68400
2019,2,44,3,0,6,3,8400,68400
2019,2,55,1,0,11,1,76000,76000
2019,2,61,1,0,11,1,174000,196500
2019,2,63,1,0,10,3,22500,196500
2019,1,20,1,0,6,1,10000,10000
2019,1,20,3,0,7,1,1000,1000
2019,1,19,3,0,7,1,1500,1500
2019,1,19,3,0,7,1,10000,10000
2019,1,72,2,0,6,3,30090,61790
2019,2,58,2,0,6,1,31700,61790
2019,2,29,1,0,10,1,36000,36000
2019,1,29,1,0,6,1,49000,36000
2019,1,62,1,0,10,3,434000,434000
2019,1,39,1,0,10,1,60000,170000
2019,2,33,1,0,11,1,110000,170000
2019,1,62,1,0,10,1,53000,53000
2019,2,21,1,0,7,1,13700,13700
2019,1,24,1,0,10,1,72500,72500
